license_id,tw_product,form,ingredient
內衛藥製字第000711號,PREDONINE TABLETS,錠劑,PREDNISOLONE
內衛藥製字第000727號,COROSAU LIQUID,漱口劑,TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;CAFFEINE;;DL-METHYLEPHEDRINE HCL;;DYPHYLLINE;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;CHLORPHENIRAMINE MALEATE
內衛藥製字第000733號,MEILOLI S.C. TABLETS,糖衣錠,BENZYDAMINE HCL
內衛藥製字第000781號,"HALOPIN TABLETS ""JOHNSON""",錠劑,HALOPERIDOL
內衛藥製字第000799號,"COLCINE TABLETS ""HONTEN""",錠劑,COLCHICINE
內衛藥製字第000805號,"DL-METHYLEPHEDRINE HCL TABLETS ""JOHNSON""",錠劑,DL-METHYLEPHEDRINE HCL
內衛藥製字第000874號,"BERBERINE HCL INJECTION 0.2% ""Y.Y.""",注射劑,BERBERINE HCL
內衛藥製字第000884號,POLENIN TABLETS,錠劑,PREDNISOLONE
內衛藥製字第000902號,KOTIDAI CAPSULES,膠囊劑,METRONIDAZOLE
內衛藥製字第000938號,ERYMYCIN GRANULES FOR SUSPENSION,懸液用顆粒劑,ERYTHROMYCIN (ESTOLATE)
內衛藥製字第000977號,CHILDREN PEDIGRIP GRANULES,內服顆粒劑,THIAMINE MONONITRATE;;RIBOFLAVIN (VIT B2);;BROMISOVALUM ( EQ TO BROMOVALERYLUREA) ( EQ TO BROMVALETONE);;HESPERIDIN (VIT P);;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS;;ACETAMINOPHEN (EQ TO PARACETAMOL);;SALICYLAMIDE
內衛藥製字第000978號,SPASMOLIN TABLETS,錠劑,HYOSCYAMINE SULFATE;;ATROPINE SULFATE;;PHENOBARBITAL;;SCOPOLAMINE HBR
內衛藥製字第001065號,CHE SU S.C. TABLETS,糖衣錠,BUTYLSCOPOLAMINE BROMIDE (EQ TO HYOSCINE-N-BUTYLBROMIDE)
內衛藥製字第001073號,CHILDREN'S SENTIN SUPPOSITORIES,栓劑,DIPROPHYLLINE
內衛藥製字第001077號,PANLYTA SOLUTION,內服液劑,LYSINE L- HCL ( EQ TO L-LYSINE HCL);;THIAMINE HYDROCHLORIDE;;ASCORBIC ACID (VIT C);;ERGOCALCIFEROL (VIT D2CALCIFEROL);;PANTOTHENATE CALCIUM;;PYRIDOXINE HCL;;RIBOFLAVIN PHOSPHATE;;CYANOCOBALAMIN (VIT B12);;NIACINAMIDE (NICOTINAMIDE);;VITAMIN A
